Country,City,Street,PostalCode,PhoneNet
NL,Boxmeer,Beatrixstraat,5831 EA,485
NL,Luyksgestel,Molenstraat,5575 BC,497
NL,Tilburg,Haelenstraat,5045 AN,13
NL,Amsterdam,Da Costakade,1053 XA,20
NL,Zoeterwoude,Industrieweg,2382 NV,71
NL,Heeze,De Boelakkers,5591 RA,40
NL,Breugel,Van den Elsenstraat,5694 NH,499
NL,Amsterdam,De Cuserstraat,1081 CL,20
NL,Zaltbommel,Rozenbogerd,5301 KD,418
NL,Ulvenhout,Gareelstraat,4851 TG,76
NL,Nuenen,Johan Frisostraat,5671 XL,40
NL,Almelo,Het Laar,7608 EK,546
NL,Vlissingen,Schoolstraat,4381 JA,118
NL,Nijmegen,De Gildekamp,6545 KK,24
NL,Rucphen,Nijverheidstraat,4715 RZ,165
NL,Arnhem,Boksbergenstraat,6825 BB,26
NL,Grijpskerke,Oostkapelseweg,4364 AX,118
NL,Den Haag,Hazelaarstraat,2563 VL,70
NL,Gouda,Ridder van Catsweg,2804 RJ,182
NL,Oldebroek,Zuiderzeestraatweg,8096 BP,525
NL,Lelystad,Hofstede,8212 WH,320
NL,Vught,Heiweg,5263 GH,73
NL,Hellevoetsluis,Zeegat,3224 SH,181
NL,Teteringen,Boekentveld,4847 SV,76
NL,Rotterdam,Beukendaal,3075 LG,10
NL,Rijssen,De Hagen,7461 LA,548
NL,Zuid-Scharwoude,Buttersgroet,1722 KV,226
NL,Uithuizermeeden,Hoofdstraat,9982 AG,595
NL,Arnhem,Klarendalseweg,6822 GJ,26
NL,Rotterdam,Lentewei,3075 PK,10
NL,Amsterdam,Sint Willibrordusstraat,1073 VC,20
NL,Schoonhoven,C.G. Roosweg,2871 MB,182
NL,Zeist,Hoog Kanje,3708 DL,30
NL,Alphen aan den Rijn,Honingzwam,2403 HT,172
NL,Bergen op Zoom,Zwitserlandstraat,4614 KM,164
NL,Urk,Zandplaat,8321 LL,527
NL,Tilburg,Kartuizersstraat,5042 AW,13
NL,Appelscha,Alle Wijtzesweg,8426 CV,516
NL,Sassenheim,Westerstraat,2171 CG,252
NL,Eindhoven,Generaal Linckerslaan,5623 JT,40
NL,Nagele,Tarwehof,8308 BK,527
NL,Enschede,Sabangstraat,7541 ZE,53
NL,Kloetinge,Koningin Wilhelminastraat,4481 AB,113
NL,Assen,Zwartwatersweg,9402 SL,592
NL,Kollum,Kalmoes,9291 JM,511
NL,Bussum,Gooilandseweg,1406 LE,35
NL,Rotterdam,Bergweg,3036 BJ,10
NL,Barchem,Ruurloseweg,7244 PC,573
NL,Ouddorp,Duinkerkerweg,3253 AJ,187
NL,Bakkeveen,Jarig van der Wielenwei,9243 SH,516
NL,Hengelo,Johan Buziaustraat,7558 LL,74
NL,Amsterdam,Amaliastraat,1052 GN,20
NL,Groot-Ammers,Voorstraat,2964 AJ,184
NL,Culemborg,Prijssestraat,4101 CN,345
NL,Noordwijk,Duinwetering,2203 HM,71
NL,Den Dungen,Grinsel,5275 JN,73
NL,Den Haag,Engelenburgstraat,2571 XC,70
NL,Grubbenvorst,Vinkenlaan,5971 CM,77
NL,Den Haag,Steureiland,2492 NB,70
NL,Weert,Geertenhof,6004 LH,495
NL,Wierum,Iniastrjitte,9141 VG,519
NL,Dalfsen,Kosterserf,7722 AG,529
NL,Steenbergen,Kade,4651 BS,167
NL,Amstelveen,Albert van Dalsumlaan,1187 RR,20
NL,Den Haag,Wingerd,2496 VD,70
NL,Groningen,Aquamarijnstraat,9743 PG,50
NL,Zwaag,Klagerstuin,1689 JZ,229
NL,Borculo,Het Eiland,7271 BK,545
NL,Bilthoven,Oude Brandenburgerweg,3721 DX,30
NL,Buurmalsen,Haagse Uitweg,4197 RC,345
NL,Aerdenhout,Sparrenlaan,2111 AE,23
NL,Katwijk,Oosterhof,2225 DW,485
NL,Veenendaal,Turbinestraat,3903 LW,318
NL,Naaldwijk,Oleander,2671 NN,174
NL,Oudkarspel,Dorpsstraat,1724 RE,226
NL,Rotterdam,Vestastraat,3089 RL,10
NL,Oegstgeest,Willem de Merodelaan,2343 KC,71
NL,Sint Philipsland,Krammerstraat,4675 CP,167
NL,Varsselder-Veldhunten,Pastoor Reulinkstraat,7076 AP,315
NL,Nijega,Finnen,9217 VV,512
NL,Zwolle,Rousemate,8014 JZ,38
NL,Ransdaal,Termoors,6311 BC,43
NL,Lelystad,Cannenburch,8226 RR,320
NL,Bilthoven,Bongerdlaan,3723 VB,30
NL,Hasselt,De Poortmaat,8061 AS,38
NL,Ede,Bennekomseweg,6717 LM,318
NL,Naarden,Walgang,1411 LM,35
NL,Zelhem,Zonnebloemstraat,7021 ZA,314
NL,Groenekan,Prinsenlaan,3737 MJ,346
NL,Almelo,Karel Doormanstraat,7603 VZ,546
NL,Hilvarenbeek,Korte Dijk,5081 WG,13
NL,Hoek,Hoekseweg,4542 PW,115
NL,Rosmalen,De Buis,5247 LN,73
NL,s-Gravenzande,Monsterseweg,2691 JJ,174
NL,Wijchen,Ringlaan,6602 DP,24
NL,Zeewolde,Noordereiland,3891 GE,36
NL,Papendrecht,Tesselschadestraat,3351 GT,78
NL,Sittard,Toon Hermanssingel,6132 BT,46
NL,Hilversum,Erfgooiersstraat,1222 AW,35
NL,Gouda,Woudestein,2804 GM,182
NL,Amsterdam,Albrecht Durerstraat,1077 LX,20
NL,Breda,David 't Kindtstraat,4827 CR,76
NL,Barsingerhorn,Wadweg,1768 BZ,224
NL,Liessel,Tramweg,5757 RK,493
NL,Tilburg,Schubertstraat,5011 CR,13
NL,Haaren,Haarendijk,5076 TM,411
NL,Hilversum,Bakkerstraat,1221 GZ,35
NL,Benschop,Eksterstraat,3405 WH,348
NL,Bunnik,Lokhorstlaan,3981 ZC,30
NL,Castricum,Willem de Rijkelaan,1901 TT,251
NL,Wommels,t Bosk,8731 BK,515
NL,Tegelen,Industriestraat,5931 PH,77
NL,Groesbeek,Burgemeester Ottenhoffstraat,6561 CL,24
NL,Roosendaal,Zundertseweg,4707 XE,165
NL,Hoofddorp,Wilsonstraat,2131 PL,23
NL,Hoogvliet,Schakelweg,3192 JM,6
NL,Soest,Braamweg,3768 CH,35
NL,Oss,Karel V Straat,5346 SC,412
NL,Leidschendam,Noordsingel,2262 AW,70
NL,Den Haag,Drebbelstraat,2522 DJ,70
NL,s-Hertogenbosch,Het Hoenderland,5221 AT,73
NL,Olst,Damshoekweg,8121 SB,570
NL,Apeldoorn,Giessen,7333 LT,55
NL,Wateringen,Het Tolland,2291 VX,174
NL,Voorschoten,Douw van der Kraplaan,2252 AT,71
NL,Neeritter,Haardstraat,6015 RB,475
NL,Hellendoorn,Koetshuisstraat,7447 XN,548
NL,Den Helder,Sloestraat,1784 JG,223
NL,Middelburg,Baljuwlaan,4336 GK,118
NL,Enter,Erve Hagemans,7468 JV,547
NL,Eindhoven,Tetrodestraat,5623 EP,40
NL,Den Dungen,Bramerslandstraat,5275 HE,73
NL,Rijssen,Smittenbelt,7461 BH,548
NL,Wijckel,Sanmar,8563 AN,514
NL,De Westereen,De Acht,9271 AM,6
NL,Balk,Minne Jeltesstrjitte,8561 AD,514
NL,Utrecht,Nieuwravenstraat,3522 RL,30
NL,Aalsmeer,Aalsmeerderweg,1432 EC,297
NL,Balkbrug,De Wieken,7707 DR,523
NL,Utrecht,Martin-Ovenweg,3555 HZ,30
NL,Den Ham,t Sumpel,7683 AA,546
NL,Landgraaf,Rossinipassage,6371 LK,45
NL,Ittervoort,Brigittastraat,6014 AT,475
NL,Den Haag,Rottermontstraat,2562 NG,70
NL,Gouda,Constantijn Huygensstraat,2802 LS,182
NL,IJhorst,Bakkerslaan,7955 AC,522
NL,Langenboom,Venweg,5453 NC,486
NL,Hendrik-Ido-Ambacht,Koog,3344 GH,78
NL,Losser,Vlasakker,7582 AS,53
NL,Enschede,Burgemeester Jacobsstraat,7543 TK,53
NL,Marken,Walandweg,1156 DJ,299
NL,Sliedrecht,Stationsweg,3362 HB,184
NL,Rotterdam,Rubensstraat,3061 ZZ,10
NL,Schiedam,Monseigneur Nolenslaan,3118 EE,10
NL,Enschede,J.H.W. Robersstraat,7545 HC,53
NL,Marrum,Hearrewei,9073 GA,518
NL,Goutum,De Tolve,9084 BH,58
NL,Amsterdam,Amstelveenseweg,1075 VT,20
NL,Harich,Van der Feltzstraat,8571 RE,514
NL,Leiden,Zoeterwoudseweg,2321 GL,71
NL,Breda,Heksenkruid,4823 JL,76
NL,Sint Willebrord,Geraniumstraat,4711 MB,6
NL,Heemstede,Von Brucken Focklaan,2102 XB,23
NL,Hengstdijk,Rummersdijkstraat,4585 PR,114
NL,s-Gravenzande,Montessoristraat,2691 ZE,174
NL,Heerhugowaard,Snuifmolen,1703 NN,72
NL,Hardenberg,Elzenlaan,7771 DL,523
NL,Den Haag,Mariastraat,2595 GN,70
NL,Spijkenisse,Zwanenhoek,3201 HT,181
NL,Ede,Talmalaan,6713 DP,318
NL,Nieuw Vennep,Gelevinkstraat,2151 AK,6
NL,Dordrecht,Aletta Jacobs-Erf,3315 EK,78
NL,Egmond aan Den Hoef,Sabine van Beierenlaan,1934 GZ,6
NL,Tilburg,Diepenveenstraat,5043 JL,13
NL,Vlaardingen,Bernweg,3137 NC,10
NL,Dussen,Zuideveldlaan,4271 XC,416
NL,Breda,Olivier van Noortstraat,4812 RC,76
NL,Roggel,Ophoven,6088 AE,475
NL,Nisse,Kruiningenpolderweg,4443 RL,113
NL,Gouderak,Jeruzalemstraat,2831 JE,182
NL,Den Haag,Laan van Wateringse Veld,2548 CZ,70
NL,Hengelo,Woolderesweg,7555 LP,74
NL,Kerkrade,Massabiellestraat,6465 BK,45
NL,Tegelen,Geldersebaan,5931 JP,77
NL,Amsterdam,Hillegomstraat,1058 LS,20
NL,Den Hout,Hespelaar,4911 AE,162
NL,Middelharnis,De Hofjes,3241 ML,187
NL,Eindhoven,Chamonixlaan,5627 KD,40
NL,Oosterbeek,Johannahoeveweg,6861 WH,26
NL,Otterlo,Harskamperweg,6731 AC,318
NL,Dordrecht,Leeuwstraat,3318 VC,78
NL,Apeldoorn,Hattemse Beek,7335 PD,55
NL,Eindhoven,Ruurlostraat,5651 EC,40
NL,Maarssen,Buitenweg,3602 ZD,346
NL,Vorden,Brinkerhof,7251 WR,575
NL,Amsterdam,Argostraat,1033 ED,20
NL,Landgraaf,Baanstraat,6372 AD,45
NL,Vleuten,Birkhoven,3452 JK,30
NL,Dreumel,Julianastraat,6621 ZE,487
NL,Wateringen,Poortweide,2291 EH,174
NL,Breda,Vestkant,4814 EB,76
NL,Bilthoven,Dravik,3723 TP,30
NL,Eenrum,Kerkbuurt,9967 RR,595
NL,Capelle aan den IJssel,Springersdiep,2904 EV,10
NL,Bornerbroek,Spooldersweg,7627 RH,74
NL,Rotterdam,Van Goghlaan,3055 PM,10
NL,Zaandam,Jan Bouwmeesterstraat,1502 PR,75
NL,Hengelo,Isaacstraat,7553 NJ,74
NL,Vlaardingen,Asterstraat,3135 HB,10
NL,Alphen,Nieuwe Schans,6626 BC,487
NL,Wijchen,Heumenseweg,6603 CZ,24
NL,Apeldoorn,Gentiaanstraat,7322 CK,55
NL,Almelo,Treubstraat,7604 TK,546
NL,Helmond,Wethouder van Nunenstraat,5706 TK,492
NL,Maastricht,Duitsepoort,6221 HH,43
NL,Oisterwijk,Scheepersdijk,5062 ED,13
NL,Amsterdam,Paulus van Hemertstraat,1064 LK,20
NL,Lelystad,Wold,8225 BE,320
NL,Alphen aan den Rijn,Diamantstraat,2403 AX,172
NL,Lelystad,Albatroslaan,8241 CE,320
NL,Spijkenisse,Maasboulevard,3207 RE,181
NL,Haarlem,Paul Krugerstraat,2021 XL,23
NL,Epe,Hoofdstraat,8162 AH,578
NL,Emmen,Tammingecamp,7824 GN,591
NL,Eys,Vinkstraat,6287 BE,43
NL,Baarlo,Snijderstraat,5991 MJ,77
NL,Dinxperlo,Terborgseweg,7091 DR,315
NL,Bergen,Oosterweg,1862 KD,72
NL,Rhenen,Utrechtsestraatweg,3911 TX,317
NL,Duiven,Doornenburgallee,6921 GT,316
NL,Weert,Tromplaan,6004 ER,495
NL,Amsterdam,Lamarckhof,1098 TK,20
NL,Geertruidenberg,Heulweg,4931 ND,162
NL,Rotterdam,Van Adrichemweg,3042 BN,10
NL,Waalwijk,Van Harenstraat,5145 RH,416
NL,Waaksens,Buorren,8845 SG,6
NL,Bergen,Schilderslaan,5854 CD,72
